iter	Passed	Remaining
0	149	149055
1	150	74888
2	150	50130
3	151	37771
4	152	30345
5	153	25404
6	154	21863
7	154	19211
8	155	17151
9	156	15500
10	157	14152
11	158	13024
12	159	12073
13	159	11255
14	160	10544
15	161	9928
16	162	9379
17	162	8892
18	163	8459
19	164	8069
20	165	7717
21	166	7395
22	167	7102
23	167	6831
24	168	6581
25	169	6355
26	170	6142
27	171	5945
28	172	5764
29	173	5603
30	174	5444
31	175	5294
32	175	5154
33	176	5020
34	177	4894
35	178	4777
36	179	4663
37	180	4559
38	180	4457
39	181	4361
40	182	4268
41	183	4181
42	184	4097
43	184	4018
44	185	3942
45	186	3868
46	187	3798
47	188	3731
48	189	3668
49	189	3606
50	190	3545
51	191	3489
52	192	3435
53	193	3382
54	193	3332
55	194	3282
56	195	3234
57	196	3189
58	197	3145
59	197	3101
60	198	3058
61	199	3018
62	200	2979
63	201	2942
64	202	2905
65	202	2870
66	203	2835
67	204	2797
68	204	2765
69	205	2734
70	206	2703
71	207	2672
72	208	2643
73	208	2615
74	209	2587
75	210	2560
76	211	2534
77	212	2508
78	213	2484
79	213	2458
80	214	2434
81	215	2411
82	216	2388
83	217	2367
84	217	2342
85	218	2322
86	219	2299
87	219	2278
88	220	2258
89	221	2240
90	222	2221
91	223	2202
92	224	2185
93	224	2167
94	225	2149
95	226	2133
96	227	2115
97	228	2098
98	228	2082
99	229	2067
100	230	2052
101	231	2033
102	231	2018
103	232	2003
104	233	1989
105	234	1975
106	234	1961
107	235	1947
108	236	1933
109	237	1919
110	238	1908
111	239	1895
112	239	1883
113	240	1870
114	241	1857
115	242	1844
116	242	1833
117	243	1821
118	244	1808
119	245	1798
120	245	1786
121	246	1776
122	247	1762
123	248	1752
124	248	1741
125	249	1731
126	250	1721
127	251	1710
128	251	1700
129	252	1690
130	253	1681
131	254	1672
132	255	1663
133	255	1654
134	256	1645
135	257	1636
136	258	1628
137	259	1618
138	259	1610
139	260	1601
140	261	1593
141	262	1585
142	263	1576
143	263	1568
144	264	1560
145	265	1552
146	266	1544
147	267	1537
148	267	1529
149	268	1523
150	269	1516
151	270	1509
152	271	1501
153	272	1494
154	272	1488
155	273	1480
156	274	1473
157	275	1466
158	276	1460
159	276	1453
160	277	1446
161	278	1440
162	279	1433
163	280	1427
164	280	1421
165	281	1414
166	282	1408
167	283	1402
168	284	1397
169	284	1391
170	285	1385
171	286	1379
172	287	1373
173	288	1367
174	288	1361
175	289	1356
176	290	1351
177	291	1346
178	292	1340
179	293	1335
180	293	1329
181	294	1324
182	295	1319
183	296	1314
184	297	1310
185	298	1304
186	299	1300
187	299	1295
188	300	1290
189	301	1285
190	302	1280
191	303	1276
192	304	1271
193	304	1266
194	305	1261
195	306	1256
196	307	1252
197	308	1248
198	308	1243
199	309	1238
200	310	1234
201	311	1230
202	312	1225
203	313	1221
204	313	1216
205	314	1212
206	315	1207
207	316	1203
208	316	1199
209	317	1195
210	318	1191
211	319	1187
212	320	1183
213	321	1179
214	321	1175
215	322	1170
216	323	1167
217	324	1163
218	325	1159
219	325	1155
220	326	1151
221	327	1147
222	328	1143
223	328	1139
224	329	1135
225	330	1132
226	331	1128
227	332	1124
228	332	1120
229	333	1116
230	334	1113
231	335	1110
232	336	1106
233	336	1102
234	337	1099
235	338	1095
236	339	1092
237	340	1088
238	340	1085
239	341	1081
240	342	1078
241	343	1074
242	343	1071
243	344	1067
244	345	1064
245	346	1061
246	347	1057
247	347	1054
248	348	1051
249	349	1047
250	350	1044
251	350	1040
252	351	1037
253	352	1034
254	352	1030
255	353	1027
256	354	1023
257	354	1020
258	355	1017
259	356	1013
260	357	1011
261	357	1008
262	358	1005
263	359	1002
264	360	999
265	361	996
266	361	993
267	362	990
268	363	987
269	364	984
270	364	981
271	365	978
272	366	976
273	367	973
274	368	970
275	368	967
276	369	964
277	370	962
278	371	959
279	372	956
280	372	953
281	373	951
282	374	948
283	375	945
284	375	943
285	376	940
286	377	937
287	378	934
288	378	932
289	379	929
290	380	927
291	381	924
292	382	922
293	382	919
294	383	917
295	384	914
296	385	912
297	386	910
298	387	907
299	387	905
300	388	902
301	389	900
302	390	897
303	391	895
304	391	893
305	392	890
306	393	888
307	394	886
308	395	883
309	395	881
310	396	879
311	397	876
312	398	874
313	399	872
314	400	870
315	400	867
316	401	865
317	402	863
318	403	860
319	403	858
320	404	856
321	405	853
322	406	851
323	407	849
324	407	847
325	408	845
326	409	842
327	410	840
328	411	838
329	411	836
330	412	834
331	413	831
332	414	829
333	415	827
334	415	825
335	416	823
336	417	821
337	418	819
338	419	817
339	420	815
340	421	813
341	421	811
342	422	809
343	423	807
344	423	804
345	424	802
346	425	800
347	426	798
348	426	796
349	427	794
350	428	792
351	429	790
352	430	788
353	430	786
354	431	784
355	432	782
356	433	780
357	434	778
358	434	776
359	435	774
360	436	772
361	437	770
362	437	768
363	438	766
364	439	764
365	440	762
366	441	760
367	441	758
368	442	756
369	443	754
370	444	753
371	445	751
372	445	749
373	446	747
374	447	745
375	448	744
376	449	742
377	449	740
378	450	738
379	451	736
380	452	734
381	453	733
382	453	731
383	454	729
384	455	727
385	456	725
386	457	723
387	458	722
388	458	720
389	459	719
390	460	717
391	461	715
392	462	713
393	463	712
394	463	710
395	464	708
396	465	707
397	466	705
398	467	703
399	467	701
400	468	700
401	469	698
402	470	696
403	471	695
404	471	693
405	473	692
406	474	690
407	474	689
408	475	687
409	476	685
410	477	684
411	478	682
412	478	680
413	479	679
414	480	677
415	481	675
416	482	674
417	482	672
418	483	670
419	484	669
420	485	667
421	486	665
422	487	664
423	487	662
424	488	661
425	489	659
426	490	657
427	491	656
428	491	654
429	492	653
430	493	651
431	494	650
432	495	648
433	496	647
434	496	645
435	497	643
436	498	642
437	499	640
438	500	638
439	500	637
440	501	636
441	502	634
442	503	633
443	504	631
444	505	630
445	506	628
446	506	627
447	507	625
448	508	624
449	509	622
450	510	621
451	511	619
452	511	618
453	512	616
454	513	615
455	514	613
456	515	612
457	516	610
458	516	609
459	517	607
460	518	606
461	519	605
462	520	603
463	521	602
464	522	600
465	523	599
466	523	597
467	524	596
468	525	594
469	526	593
470	527	592
471	528	590
472	529	589
473	529	588
474	530	586
475	531	585
476	532	583
477	533	582
478	533	580
479	534	579
480	535	577
481	536	576
482	537	575
483	538	573
484	539	572
485	539	570
486	540	569
487	541	568
488	542	566
489	543	565
490	543	563
491	544	562
492	545	561
493	546	559
494	547	558
495	548	557
496	549	555
497	549	554
498	550	552
499	551	551
500	552	549
501	552	548
502	553	547
503	554	545
504	555	544
505	556	542
506	556	541
507	557	540
508	558	538
509	559	537
510	560	536
511	560	534
512	561	533
513	562	532
514	563	530
515	564	529
516	565	527
517	566	526
518	566	525
519	567	524
520	568	523
521	569	521
522	570	520
523	571	519
524	572	517
525	573	516
526	573	515
527	574	513
528	575	512
529	576	511
530	577	509
531	577	508
532	578	507
533	579	505
534	580	504
535	581	503
536	581	501
537	582	500
538	583	499
539	584	498
540	585	496
541	586	495
542	587	494
543	588	492
544	588	491
545	589	490
546	590	488
547	591	487
548	591	486
549	592	484
550	593	483
551	594	482
552	595	480
553	595	479
554	596	478
555	597	477
556	598	475
557	599	474
558	599	473
559	600	471
560	601	470
561	602	469
562	602	467
563	603	466
564	604	465
565	605	464
566	606	462
567	606	461
568	607	460
569	608	459
570	609	457
571	610	456
572	610	455
573	611	453
574	612	452
575	613	451
576	614	450
577	615	449
578	615	447
579	616	446
580	617	445
581	618	444
582	618	442
583	619	441
584	620	440
585	621	439
586	622	437
587	622	436
588	623	435
589	624	434
590	625	432
591	626	431
592	627	430
593	628	429
594	628	428
595	629	426
596	630	425
597	631	424
598	631	423
599	632	421
600	633	420
601	634	419
602	635	418
603	635	416
604	636	415
605	637	414
606	638	413
607	639	412
608	640	410
609	640	409
610	641	408
611	642	407
612	643	405
613	643	404
614	644	403
615	645	402
616	646	401
617	647	399
618	647	398
619	648	397
620	649	396
621	650	395
622	651	393
623	651	392
624	652	391
625	653	390
626	654	389
627	654	387
628	655	386
629	656	385
630	657	384
631	658	383
632	659	382
633	659	380
634	660	379
635	661	378
636	662	377
637	663	376
638	664	375
639	664	374
640	665	372
641	666	371
642	667	370
643	668	369
644	668	368
645	670	367
646	671	366
647	671	364
648	672	363
649	673	362
650	674	361
651	675	360
652	676	359
653	676	358
654	677	356
655	678	355
656	679	354
657	680	353
658	681	352
659	682	351
660	682	350
661	683	349
662	684	347
663	685	346
664	686	345
665	687	344
666	687	343
667	688	342
668	689	341
669	690	339
670	691	338
671	692	337
672	692	336
673	693	335
674	694	334
675	695	333
676	696	332
677	697	331
678	697	329
679	698	328
680	699	327
681	700	326
682	701	325
683	701	324
684	702	323
685	703	321
686	704	320
687	704	319
688	705	318
689	706	317
690	707	316
691	708	315
692	709	314
693	709	312
694	710	311
695	711	310
696	712	309
697	713	308
698	713	307
699	714	306
700	715	305
701	716	304
702	717	303
703	718	301
704	718	300
705	719	299
706	720	298
707	721	297
708	721	296
709	722	295
710	723	294
711	724	292
712	725	291
713	725	290
714	726	289
715	727	288
716	728	287
717	729	286
718	730	285
719	730	284
720	731	283
721	732	282
722	733	280
723	734	279
724	734	278
725	735	277
726	736	276
727	737	275
728	738	274
729	738	273
730	739	272
731	740	271
732	741	270
733	742	268
734	743	267
735	743	266
736	744	265
737	745	264
738	746	263
739	746	262
740	747	261
741	748	260
742	749	259
743	750	258
744	751	257
745	752	256
746	752	254
747	753	253
748	754	252
749	755	251
750	756	250
751	756	249
752	757	248
753	758	247
754	759	246
755	760	245
756	760	244
757	761	243
758	762	242
759	763	241
760	764	240
761	765	238
762	766	237
763	766	236
764	767	235
765	768	234
766	769	233
767	770	232
768	770	231
769	771	230
770	772	229
771	773	228
772	774	227
773	774	226
774	775	225
775	776	224
776	777	223
777	778	222
778	779	221
779	779	219
780	780	218
781	781	217
782	782	216
783	783	215
784	783	214
785	784	213
786	785	212
787	786	211
788	787	210
789	788	209
790	788	208
791	789	207
792	790	206
793	791	205
794	791	204
795	792	203
796	793	202
797	794	201
798	795	200
799	796	199
800	797	198
801	797	196
802	798	195
803	799	194
804	800	193
805	801	192
806	801	191
807	802	190
808	803	189
809	804	188
810	804	187
811	805	186
812	806	185
813	807	184
814	808	183
815	808	182
816	809	181
817	810	180
818	811	179
819	811	178
820	812	177
821	813	176
822	814	175
823	815	174
824	816	173
825	816	172
826	817	171
827	818	170
828	819	169
829	820	167
830	820	166
831	821	165
832	822	164
833	823	163
834	824	162
835	824	161
836	825	160
837	826	159
838	827	158
839	828	157
840	828	156
841	829	155
842	830	154
843	831	153
844	832	152
845	832	151
846	833	150
847	834	149
848	835	148
849	836	147
850	836	146
851	837	145
852	838	144
853	839	143
854	840	142
855	841	141
856	841	140
857	842	139
858	843	138
859	844	137
860	845	136
861	845	135
862	846	134
863	847	133
864	848	132
865	849	131
866	849	130
867	850	129
868	851	128
869	852	127
870	853	126
871	854	125
872	854	124
873	855	123
874	856	122
875	857	121
876	858	120
877	858	119
878	859	118
879	860	117
880	861	116
881	862	115
882	863	114
883	863	113
884	864	112
885	865	111
886	866	110
887	867	109
888	868	108
889	869	107
890	869	106
891	870	105
892	871	104
893	872	103
894	873	102
895	873	101
896	874	100
897	875	99
898	876	98
899	877	97
900	878	96
901	879	95
902	879	94
903	880	93
904	881	92
905	882	91
906	883	90
907	883	89
908	884	88
909	885	87
910	886	86
911	887	85
912	887	84
913	888	83
914	889	82
915	890	81
916	891	80
917	891	79
918	892	78
919	893	77
920	894	76
921	895	75
922	896	74
923	897	73
924	897	72
925	898	71
926	899	70
927	900	69
928	901	68
929	901	67
930	902	66
931	903	65
932	904	64
933	905	63
934	905	62
935	906	61
936	907	61
937	908	60
938	908	59
939	909	58
940	910	57
941	911	56
942	911	55
943	912	54
944	913	53
945	914	52
946	915	51
947	916	50
948	916	49
949	917	48
950	918	47
951	919	46
952	920	45
953	921	44
954	922	43
955	922	42
956	923	41
957	924	40
958	925	39
959	926	38
960	926	37
961	927	36
962	928	35
963	929	34
964	930	33
965	931	32
966	931	31
967	932	30
968	933	29
969	934	28
970	935	27
971	935	26
972	936	25
973	937	25
974	938	24
975	939	23
976	939	22
977	940	21
978	941	20
979	942	19
980	943	18
981	943	17
982	944	16
983	945	15
984	946	14
985	947	13
986	948	12
987	948	11
988	949	10
989	950	9
990	951	8
991	952	7
992	953	6
993	954	5
994	954	4
995	955	3
996	956	2
997	957	1
998	958	0
999	958	0
