iter	Passed	Remaining
0	1	1699
1	3	1629
2	4	1614
3	6	1740
4	10	2138
5	13	2193
6	14	2115
7	16	2058
8	18	2006
9	19	1972
10	21	1938
11	24	1996
12	26	1983
13	28	2019
14	30	1992
15	31	1959
16	33	1929
17	34	1904
18	36	1885
19	38	1885
20	40	1885
21	43	1934
22	45	1915
23	46	1895
24	48	1877
25	49	1857
26	51	1851
27	53	1844
28	56	1896
29	58	1886
30	59	1875
31	61	1865
32	63	1850
33	64	1838
34	66	1822
35	67	1815
36	70	1835
37	72	1830
38	73	1821
39	75	1811
40	76	1798
41	78	1787
42	79	1776
43	81	1766
44	83	1765
45	85	1766
46	86	1760
47	88	1755
48	90	1747
49	91	1740
50	93	1732
51	94	1721
52	96	1716
53	97	1708
54	99	1707
55	101	1704
56	102	1698
57	104	1691
58	105	1685
59	107	1678
60	108	1669
61	109	1663
62	111	1656
63	113	1653
64	114	1648
65	116	1643
66	117	1642
67	119	1638
68	121	1633
69	122	1627
70	124	1623
71	125	1622
72	128	1631
73	130	1627
74	131	1625
75	133	1623
76	135	1618
77	136	1613
78	137	1608
79	139	1601
80	141	1603
81	143	1604
82	144	1593
83	146	1593
84	147	1588
85	149	1584
86	150	1581
87	152	1576
88	153	1572
89	155	1567
90	156	1563
91	160	1581
92	162	1582
93	163	1578
94	165	1573
95	166	1570
96	168	1566
97	170	1566
98	171	1563
99	175	1578
100	177	1576
101	178	1575
102	180	1571
103	181	1567
104	183	1564
105	184	1560
106	186	1558
107	188	1556
108	190	1555
109	191	1553
110	193	1552
111	195	1549
112	196	1546
113	198	1542
114	199	1538
115	202	1540
116	203	1537
117	205	1535
118	207	1534
119	208	1530
120	210	1527
121	211	1522
122	213	1520
123	214	1516
124	216	1515
125	218	1513
126	219	1509
127	221	1508
128	223	1506
129	224	1503
130	226	1499
131	227	1496
132	229	1493
133	230	1490
134	232	1489
135	233	1486
136	235	1485
137	237	1483
138	238	1480
139	240	1477
140	242	1474
141	243	1468
142	244	1466
143	246	1463
144	247	1460
145	249	1458
146	251	1456
147	252	1455
148	254	1452
149	255	1449
150	257	1445
